customer_id,name,gender,age,nationality,emirate,signup_date
1,Customer_1,Male,38,UAE,Sharjah,2023-05-16
2,Customer_2,Female,49,UK,Sharjah,2022-04-27
3,Customer_3,Male,40,Philippines,Ajman,2023-01-21
4,Customer_4,Male,50,UAE,Sharjah,2022-12-10
5,Customer_5,Male,20,Philippines,Dubai,2023-08-07
6,Customer_6,Female,35,India,Ras Al Khaimah,2023-01-30
7,Customer_7,Male,42,Pakistan,Sharjah,2022-03-05
8,Customer_8,Male,59,UAE,Fujairah,2023-12-18
9,Customer_9,Male,48,UK,Sharjah,2023-12-22
10,Customer_10,Female,20,India,Abu Dhabi,2022-03-13
11,Customer_11,Male,57,Philippines,Dubai,2024-02-28
12,Customer_12,Male,41,Other,Abu Dhabi,2022-10-01
13,Customer_13,Male,49,India,Abu Dhabi,2024-09-16
14,Customer_14,Male,39,UAE,Fujairah,2022-11-16
15,Customer_15,Female,40,Philippines,Dubai,2022-12-04
16,Customer_16,Male,19,Pakistan,Dubai,2023-01-01
17,Customer_17,Female,44,India,Dubai,2023-05-10
18,Customer_18,Female,59,UAE,Dubai,2023-08-30
19,Customer_19,Female,19,UK,Dubai,2022-06-15
20,Customer_20,Male,43,Other,Fujairah,2023-06-28
21,Customer_21,Female,34,Philippines,Sharjah,2022-01-11
22,Customer_22,Male,57,India,Abu Dhabi,2022-10-28
23,Customer_23,Female,50,India,Dubai,2023-12-30
24,Customer_24,Female,26,Pakistan,Umm Al Quwain,2024-03-11
25,Customer_25,Female,56,Pakistan,Sharjah,2022-04-12
26,Customer_26,Female,46,UK,Sharjah,2023-03-01
27,Customer_27,Female,59,Other,Abu Dhabi,2023-01-27
28,Customer_28,Female,43,UK,Fujairah,2024-02-18
29,Customer_29,Female,52,UAE,Ajman,2022-08-02
30,Customer_30,Female,42,UAE,Ajman,2023-11-22
31,Customer_31,Male,41,UK,Sharjah,2022-03-29
32,Customer_32,Male,30,Other,Ras Al Khaimah,2023-07-07
33,Customer_33,Female,24,UK,Ras Al Khaimah,2023-02-05
34,Customer_34,Female,53,Other,Abu Dhabi,2023-08-11
35,Customer_35,Female,37,Other,Ajman,2024-06-07
36,Customer_36,Male,18,Philippines,Sharjah,2022-02-15
37,Customer_37,Female,25,Other,Fujairah,2023-11-03
38,Customer_38,Male,33,Pakistan,Ajman,2023-04-08
39,Customer_39,Male,31,Other,Sharjah,2023-08-15
40,Customer_40,Male,29,Other,Sharjah,2022-11-06
41,Customer_41,Male,40,Other,Dubai,2022-03-27
42,Customer_42,Male,32,UAE,Fujairah,2022-04-02
43,Customer_43,Female,45,Pakistan,Dubai,2023-10-22
44,Customer_44,Female,51,Pakistan,Abu Dhabi,2023-11-04
45,Customer_45,Female,19,UK,Dubai,2023-12-15
46,Customer_46,Female,49,Philippines,Umm Al Quwain,2024-07-24
47,Customer_47,Female,40,Other,Dubai,2024-07-16
48,Customer_48,Male,39,India,Umm Al Quwain,2022-08-30
49,Customer_49,Female,42,Philippines,Ajman,2024-05-14
50,Customer_50,Female,39,Philippines,Ras Al Khaimah,2022-01-02
51,Customer_51,Male,39,Pakistan,Sharjah,2022-08-13
52,Customer_52,Female,59,Philippines,Umm Al Quwain,2024-03-11
53,Customer_53,Male,23,Other,Fujairah,2024-01-15
54,Customer_54,Female,32,Other,Dubai,2024-08-30
55,Customer_55,Male,54,UAE,Umm Al Quwain,2024-07-14
56,Customer_56,Female,50,Other,Fujairah,2024-07-17
57,Customer_57,Female,25,Other,Ras Al Khaimah,2023-08-12
58,Customer_58,Male,22,Pakistan,Ras Al Khaimah,2022-04-26
59,Customer_59,Male,56,Other,Dubai,2023-10-28
60,Customer_60,Male,21,UAE,Abu Dhabi,2024-07-06
61,Customer_61,Male,23,India,Dubai,2022-04-13
62,Customer_62,Male,49,Pakistan,Ajman,2022-07-13
63,Customer_63,Male,47,India,Umm Al Quwain,2022-06-15
64,Customer_64,Male,52,Pakistan,Sharjah,2024-05-20
65,Customer_65,Male,57,UK,Abu Dhabi,2022-03-31
66,Customer_66,Female,33,Philippines,Dubai,2023-11-17
67,Customer_67,Female,30,UK,Fujairah,2022-05-02
68,Customer_68,Male,59,Other,Abu Dhabi,2022-05-23
69,Customer_69,Female,47,India,Umm Al Quwain,2024-09-20
70,Customer_70,Female,36,Other,Abu Dhabi,2022-04-16
71,Customer_71,Female,34,Philippines,Umm Al Quwain,2024-06-05
72,Customer_72,Female,36,Pakistan,Dubai,2023-03-04
73,Customer_73,Male,45,Philippines,Umm Al Quwain,2022-11-01
74,Customer_74,Female,43,UAE,Abu Dhabi,2024-05-21
75,Customer_75,Male,54,Philippines,Fujairah,2024-08-28
76,Customer_76,Female,43,UAE,Ras Al Khaimah,2022-11-13
77,Customer_77,Female,40,Philippines,Abu Dhabi,2024-08-20
78,Customer_78,Female,26,UAE,Umm Al Quwain,2023-09-27
79,Customer_79,Male,29,India,Ras Al Khaimah,2024-06-20
80,Customer_80,Female,18,Other,Umm Al Quwain,2022-01-09
81,Customer_81,Male,18,Other,Fujairah,2024-02-13
82,Customer_82,Female,51,UK,Umm Al Quwain,2022-03-14
83,Customer_83,Male,49,Other,Dubai,2022-12-25
84,Customer_84,Female,42,Pakistan,Sharjah,2022-08-11
85,Customer_85,Male,57,Philippines,Abu Dhabi,2023-02-20
86,Customer_86,Male,18,UK,Sharjah,2023-07-07
87,Customer_87,Female,33,Pakistan,Umm Al Quwain,2023-01-05
88,Customer_88,Male,56,Pakistan,Fujairah,2023-12-17
89,Customer_89,Female,22,UAE,Abu Dhabi,2022-09-21
90,Customer_90,Female,39,Other,Umm Al Quwain,2024-04-19
91,Customer_91,Female,46,India,Ras Al Khaimah,2023-11-21
92,Customer_92,Female,20,India,Ajman,2024-05-09
93,Customer_93,Female,29,UK,Umm Al Quwain,2022-11-14
94,Customer_94,Female,43,India,Sharjah,2022-03-25
95,Customer_95,Female,33,Philippines,Abu Dhabi,2022-11-14
96,Customer_96,Female,54,India,Sharjah,2022-04-21
97,Customer_97,Female,39,UK,Abu Dhabi,2022-09-08
98,Customer_98,Female,46,India,Umm Al Quwain,2023-01-18
99,Customer_99,Female,31,Philippines,Dubai,2022-01-07
100,Customer_100,Male,45,UAE,Ras Al Khaimah,2023-04-04
101,Customer_101,Male,22,UK,Umm Al Quwain,2022-03-25
102,Customer_102,Female,47,UAE,Sharjah,2022-07-27
103,Customer_103,Female,22,UAE,Ajman,2024-06-18
104,Customer_104,Female,29,UAE,Ajman,2023-01-25
105,Customer_105,Female,33,Pakistan,Fujairah,2022-11-10
106,Customer_106,Female,43,Other,Abu Dhabi,2022-01-22
107,Customer_107,Female,43,Pakistan,Sharjah,2023-02-14
108,Customer_108,Female,38,Other,Fujairah,2024-06-13
109,Customer_109,Female,56,UAE,Sharjah,2023-05-30
110,Customer_110,Male,53,UK,Abu Dhabi,2022-05-07
111,Customer_111,Female,50,Other,Umm Al Quwain,2024-03-19
112,Customer_112,Male,47,Philippines,Umm Al Quwain,2023-12-01
113,Customer_113,Female,54,Philippines,Ajman,2024-05-23
114,Customer_114,Female,40,India,Umm Al Quwain,2022-01-14
115,Customer_115,Male,27,Other,Umm Al Quwain,2024-08-28
116,Customer_116,Female,22,UK,Dubai,2024-09-04
117,Customer_117,Male,53,Pakistan,Ajman,2022-01-12
118,Customer_118,Female,51,UAE,Fujairah,2022-03-28
119,Customer_119,Female,48,India,Ras Al Khaimah,2023-06-08
120,Customer_120,Male,27,Philippines,Dubai,2024-06-27
121,Customer_121,Female,36,Pakistan,Fujairah,2023-06-21
122,Customer_122,Male,49,Pakistan,Abu Dhabi,2022-10-28
123,Customer_123,Female,18,UAE,Dubai,2022-08-31
124,Customer_124,Male,22,Other,Fujairah,2022-05-02
125,Customer_125,Male,21,Philippines,Abu Dhabi,2022-05-27
126,Customer_126,Female,33,UK,Ajman,2023-07-21
127,Customer_127,Female,41,Pakistan,Ras Al Khaimah,2024-01-20
128,Customer_128,Male,33,UAE,Abu Dhabi,2022-12-22
129,Customer_129,Female,19,UK,Umm Al Quwain,2023-11-16
130,Customer_130,Female,45,Other,Sharjah,2024-06-22
131,Customer_131,Female,49,Philippines,Abu Dhabi,2024-01-03
132,Customer_132,Male,44,Other,Abu Dhabi,2023-09-23
133,Customer_133,Male,37,Pakistan,Ras Al Khaimah,2022-11-05
134,Customer_134,Male,41,UK,Sharjah,2023-11-26
135,Customer_135,Male,29,UK,Umm Al Quwain,2022-10-15
136,Customer_136,Male,52,UK,Fujairah,2022-11-03
137,Customer_137,Male,50,Pakistan,Fujairah,2024-03-22
138,Customer_138,Male,50,Pakistan,Abu Dhabi,2023-08-17
139,Customer_139,Male,54,Other,Sharjah,2024-08-23
140,Customer_140,Male,29,India,Sharjah,2024-07-02
141,Customer_141,Female,20,Other,Umm Al Quwain,2023-12-24
142,Customer_142,Male,18,Philippines,Ras Al Khaimah,2023-10-24
143,Customer_143,Female,50,UAE,Ajman,2023-07-03
144,Customer_144,Female,57,UK,Fujairah,2022-12-18
145,Customer_145,Female,27,India,Ras Al Khaimah,2022-11-08
146,Customer_146,Male,46,UAE,Dubai,2024-05-22
147,Customer_147,Male,30,India,Fujairah,2022-02-28
148,Customer_148,Male,29,Other,Ras Al Khaimah,2023-10-05
149,Customer_149,Male,48,Pakistan,Fujairah,2024-07-12
150,Customer_150,Female,19,UK,Ajman,2023-12-15
151,Customer_151,Male,52,Other,Dubai,2024-01-25
152,Customer_152,Male,40,UAE,Ajman,2022-02-04
153,Customer_153,Male,34,UAE,Umm Al Quwain,2023-03-21
154,Customer_154,Male,43,UAE,Dubai,2022-04-03
155,Customer_155,Male,25,UAE,Abu Dhabi,2024-08-07
156,Customer_156,Female,46,UAE,Ras Al Khaimah,2024-08-16
157,Customer_157,Male,43,India,Dubai,2022-07-26
158,Customer_158,Female,27,Other,Umm Al Quwain,2022-12-19
159,Customer_159,Male,43,UK,Umm Al Quwain,2024-06-21
160,Customer_160,Female,51,Pakistan,Ajman,2022-11-28
161,Customer_161,Male,58,Pakistan,Fujairah,2024-03-27
162,Customer_162,Male,24,Other,Dubai,2024-05-11
163,Customer_163,Female,21,Other,Ras Al Khaimah,2023-12-26
164,Customer_164,Female,28,Pakistan,Dubai,2022-06-08
165,Customer_165,Female,46,Pakistan,Sharjah,2024-08-11
166,Customer_166,Male,53,India,Fujairah,2024-08-14
167,Customer_167,Female,42,Philippines,Ras Al Khaimah,2022-01-24
168,Customer_168,Male,38,UK,Ras Al Khaimah,2023-02-08
169,Customer_169,Male,53,UAE,Abu Dhabi,2024-03-15
170,Customer_170,Female,27,Philippines,Ajman,2023-05-31
171,Customer_171,Female,54,Other,Abu Dhabi,2024-01-02
172,Customer_172,Male,26,Pakistan,Ras Al Khaimah,2022-12-30
173,Customer_173,Male,41,Philippines,Fujairah,2023-01-17
174,Customer_174,Female,52,UK,Dubai,2023-06-16
175,Customer_175,Female,52,Other,Dubai,2024-08-13
176,Customer_176,Female,53,UAE,Fujairah,2022-06-01
177,Customer_177,Male,35,UAE,Ras Al Khaimah,2023-07-16
178,Customer_178,Male,56,UK,Umm Al Quwain,2023-11-20
179,Customer_179,Male,49,UK,Dubai,2024-08-04
180,Customer_180,Male,41,Pakistan,Umm Al Quwain,2023-08-31
181,Customer_181,Male,40,UAE,Dubai,2023-09-09
182,Customer_182,Male,49,Other,Dubai,2023-02-24
183,Customer_183,Female,54,Philippines,Ajman,2022-09-07
184,Customer_184,Male,29,Other,Ajman,2022-04-27
185,Customer_185,Male,30,India,Sharjah,2024-05-15
186,Customer_186,Male,40,India,Abu Dhabi,2023-05-27
187,Customer_187,Female,42,UK,Fujairah,2024-01-10
188,Customer_188,Male,52,Pakistan,Fujairah,2023-08-01
189,Customer_189,Male,58,India,Fujairah,2022-12-01
190,Customer_190,Female,47,UAE,Sharjah,2023-02-22
191,Customer_191,Male,34,Other,Ajman,2024-07-20
192,Customer_192,Male,37,Other,Ras Al Khaimah,2024-02-13
193,Customer_193,Male,42,UK,Umm Al Quwain,2022-10-22
194,Customer_194,Male,39,Philippines,Umm Al Quwain,2024-07-26
195,Customer_195,Male,30,UK,Ras Al Khaimah,2024-01-25
196,Customer_196,Female,36,Philippines,Sharjah,2023-01-06
197,Customer_197,Female,53,UK,Ras Al Khaimah,2022-07-05
198,Customer_198,Female,29,UK,Fujairah,2022-09-03
199,Customer_199,Male,58,UK,Abu Dhabi,2023-09-29
200,Customer_200,Male,36,Philippines,Dubai,2022-09-25
201,Customer_201,Male,29,Philippines,Umm Al Quwain,2023-10-05
202,Customer_202,Female,26,UK,Ajman,2022-08-25
203,Customer_203,Male,24,India,Ajman,2023-06-14
204,Customer_204,Male,45,Pakistan,Sharjah,2023-07-06
205,Customer_205,Female,31,Pakistan,Ajman,2022-01-21
206,Customer_206,Male,48,Pakistan,Fujairah,2024-06-29
207,Customer_207,Female,36,Philippines,Umm Al Quwain,2024-01-07
208,Customer_208,Female,33,Philippines,Ras Al Khaimah,2024-05-16
209,Customer_209,Female,22,India,Fujairah,2024-03-04
210,Customer_210,Male,52,Pakistan,Sharjah,2023-06-04
211,Customer_211,Male,29,Pakistan,Fujairah,2022-04-10
212,Customer_212,Male,42,UK,Ras Al Khaimah,2024-01-22
213,Customer_213,Male,38,Philippines,Abu Dhabi,2023-04-23
214,Customer_214,Male,53,Pakistan,Sharjah,2023-08-22
215,Customer_215,Male,40,Other,Abu Dhabi,2022-10-25
216,Customer_216,Male,33,India,Dubai,2024-07-28
217,Customer_217,Female,56,Other,Abu Dhabi,2023-06-10
218,Customer_218,Male,59,Other,Dubai,2022-11-30
219,Customer_219,Female,56,India,Dubai,2022-01-02
220,Customer_220,Male,31,Other,Abu Dhabi,2023-01-10
221,Customer_221,Male,48,Pakistan,Sharjah,2022-10-20
222,Customer_222,Male,22,Philippines,Ras Al Khaimah,2024-04-16
223,Customer_223,Female,52,India,Fujairah,2024-07-22
